"File Path","Line Number","Description","Link"
"src/electron/agent/executor.ts",12180,"Use of a broken or weak cryptographic algorithm","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/66"
"src/electron/gateway/security.ts",427,"Creating biased random numbers from a cryptographically secure source","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/65"
"src/electron/agent/tools/batch-image-tools.ts",353,"Shell command built from environment values","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/64"
"src/electron/memory/MemoryObservationService.ts",87,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/63"
"src/electron/database/SecureSettingsRepository.ts",593,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/62"
"src/electron/agent/tools/registry.ts",8374,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/61"
"src/electron/agent/executor.ts",12180,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/60"
"src/electron/agent/llm/prompt-cache.ts",186,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/59"
"src/electron/agent/llm/prompt-cache.ts",154,"Use of password hash with insufficient computational effort","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/58"
"src/electron/hooks/server.ts",933,"Information exposure through a stack trace","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/57"
"src/electron/extensions/pack-registry.ts",93,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/56"
"src/electron/extensions/pack-registry.ts",92,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/55"
"src/electron/agent/tools/x-tools.ts",1143,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/54"
"src/electron/agent/tools/x-tools.ts",1143,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/53"
"src/electron/agent/tools/x-tools.ts",181,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/52"
"src/electron/agent/tools/x-tools.ts",181,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/51"
"src/electron/agent/tools/browser-tools.ts",1575,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/50"
"src/electron/agent/tools/browser-tools.ts",1535,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/49"
"src/electron/agent/skill-registry.ts",328,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/48"
"src/electron/agent/skill-registry.ts",327,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/47"
"scripts/collect-public-adoption-stats.mjs",68,"Incomplete URL substring sanitization","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/46"
"src/electron/agent/tools/canvas-tools.ts",316,"Incomplete URL scheme check","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/45"
"src/renderer/components/BrowserWorkbenchView.tsx",1523,"DOM text reinterpreted as HTML","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/44"
"src/renderer/components/BrowserView.tsx",156,"DOM text reinterpreted as HTML","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/43"
"src/renderer/utils/email-html-sanitize.ts",27,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/42"
"src/renderer/components/WebArtifactViewer.tsx",97,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/41"
"src/electron/mailbox/MailboxService.ts",981,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/40"
"src/electron/gateway/channels/email-client.ts",187,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/39"
"src/electron/agent/tools/web-fetch-tools.ts",513,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/38"
"src/electron/agent/tools/gmail-tools.ts",123,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/37"
"resources/skills/llm-wiki/scripts/wiki-workbench-lib.mjs",157,"Bad HTML filtering regexp","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/36"
"src/renderer/components/MainContent/markdown-normalization.ts",269,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/35"
"src/electron/utils/pptx-extractor.ts",502,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/34"
"src/electron/utils/json-utils.ts",175,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/33"
"src/electron/memory/DurableContextService.ts",73,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/32"
"src/electron/mailbox/MailboxService.ts",3521,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/31"
"src/electron/computer-use/window-isolation.ts",99,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/30"
"src/electron/computer-use/window-isolation.ts",74,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/29"
"src/electron/browser/browser-workbench-service.ts",106,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/28"
"src/electron/agent/executor-completion-utils.ts",42,"Incomplete string escaping or encoding","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/27"
"src/renderer/components/InboxAgentPanel.tsx",261,"Double escaping or unescaping","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/26"
"src/renderer/components/AssistantMessageContent.tsx",172,"Double escaping or unescaping","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/25"
"src/electron/utils/pptx-extractor.ts",338,"Double escaping or unescaping","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/24"
"src/electron/utils/pptx-extractor.ts",168,"Double escaping or unescaping","https://github.com/raid-ppcoe/CoWork-OS/security/code-scanning/23"
