"File Path","Line Number","Description","Link"
".github/workflows/autofix.atom.yml",115,"Checkout of untrusted code in a privileged context","https://github.com/raid-ppcoe/open-design/security/code-scanning/284"
".github/workflows/report.atom.yml",249,"Checkout of untrusted code in a privileged context","https://github.com/raid-ppcoe/open-design/security/code-scanning/283"
"apps/daemon/src/skills.ts",837,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/282"
"apps/daemon/src/skills.ts",835,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/281"
"apps/daemon/src/skills.ts",819,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/280"
"apps/daemon/src/services/plugin-installation.ts",65,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/279"
"apps/daemon/src/services/plugin-installation.ts",63,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/278"
"apps/daemon/src/routes/media.ts",380,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/277"
"apps/daemon/src/routes/design-systems.ts",333,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/276"
"apps/daemon/src/prompt-templates.ts",77,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/275"
"apps/daemon/src/project-locations.ts",55,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/274"
"apps/daemon/src/project-locations.ts",53,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/273"
"apps/daemon/src/project-locations.ts",52,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/272"
"apps/daemon/src/plugins/skill-candidates.ts",183,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/271"
"apps/daemon/src/plugins/skill-candidates.ts",170,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/270"
"apps/daemon/src/plugins/skill-candidates.ts",169,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/269"
"apps/daemon/src/plugins/skill-candidates.ts",168,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/268"
"apps/daemon/src/plugins/skill-candidates.ts",167,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/267"
"apps/daemon/src/plugins/installer.ts",837,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/266"
"apps/daemon/src/plugins/installer.ts",823,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/265"
"apps/daemon/src/plugins/installer.ts",817,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/264"
"apps/daemon/src/plugins/installer.ts",672,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/263"
"apps/daemon/src/plugins/registry.ts",136,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/262"
"apps/daemon/src/plugins/registry.ts",135,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/261"
"apps/daemon/src/plugins/registry.ts",130,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/260"
"apps/daemon/src/plugins/registry.ts",129,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/259"
"apps/daemon/src/plugins/registry.ts",118,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/258"
"apps/daemon/src/plugins/registry.ts",117,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/257"
"apps/daemon/src/plugins/registry.ts",104,"Uncontrolled data used in path expression","https://github.com/raid-ppcoe/open-design/security/code-scanning/256"
